id,name,unit,cost_per_pack,notes,created_at,pack_weight,brand,supplier_part_number,supplier_id,secondary_supplier_id,ordering_url,processing_ratio,raw_meat_tray_capacity_kg,category,stock_check_enabled,stock_check_frequency,stock_check_day,min_cooking_temp_c,estimated_cook_time_min,oven_temp_c,steam_pct,surplus_percent,shelf_life_days,kanban_enabled,kanban_quantity,kanban_unit,kanban_order_amount,perishable,pallet_size,energy_kj,energy_kcal,fat,saturates,carbohydrate,sugars,protein,salt,label_declaration,allergens,fibre,prep_weight_mode,qr_code_url,is_bottle,bottle_size,surplus_mode,surplus_absolute_qty,prep_count_per_portion,is_pasta,requires_use_by_date,stock_in_packs,nutritionals_ai_estimated,case_size_packs,meat_process_minutes,country_of_origin,shopify_variant_id,shopify_product_title,shopify_variant_title,shopify_units_per_pack,nova_class,nova_markers,nova_reasoning,nova_confidence,nova_source,nova_analyzed_at
127,Cranberry,kg,8.9000,,2026-03-19 09:57:56.3,2.5000,Country Range,,9,,,1.0000,,other,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
67,Meahs Tikka Sauce,kg,18.9900,Sauces,2026-03-19 09:57:56.115,3.0000,,,9,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
68,Green Peppers,kg,13.9500,Vegetables,2026-03-19 09:57:56.117,5.0000,,,5,,,1.0000,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
69,Greek Yoghurt,kg,7.2500,Dairy,2026-03-19 09:57:56.119,1.0000,,,9,,,1.0000,,dairy,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
71,Pancetta,kg,11.5000,,2026-03-19 09:57:56.124,1.0000,,,,,,0.6600,,cooked_meat,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
74,Ground Nutmeg,g,13.5600,Herbs and Spices,2026-03-19 09:57:56.133,500.0000,,,9,,,1.0000,,spice,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
26,Passata (Rodolfi),kg,16.5000,Base,2026-03-19 09:57:55.969,10.0000,,,10,,,1.0000,,sauce,t,weekly,Tuesday,,,,,1300.00,,t,40.0000,weight,70.0000,t,,,,,,,,,,Tomatoes,[],,raw,,f,,percent,,,f,f,t,f,,,,,,,,3,[],"Label declaration is 'Tomatoes' only. Rodolfi passata is simply sieved tomatoes with no additives — a traditional minimally processed product, NOVA 3.",high,ai,2026-07-23 15:37:25.889
13,Red Onions,kg,3.0500,Vegetables,2026-03-19 09:57:55.902,1.0000,,,5,,,1.0000,,vegetable,t,daily,,,,,,30.00,5,f,0.0000,weight,,t,,,,,,,,,,Red onions,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,1,[],Label declaration is 'Red onions' — a single fresh vegetable ingredient. Unambiguously NOVA 1.,high,ai,2026-07-23 15:37:25.889
33,Yeast,g,4.2500,Dough,2026-03-19 09:57:55.998,500.0000,,,10,,,1.0000,,dough,t,weekly,Tuesday,,,,,4000.00,,t,2.0000,pack,4.0000,t,,,,,,,,,,Yeast,[],,raw,,f,,percent,,,f,f,t,f,,,,,,,,1,[],"Label declaration states 'Yeast' only — a single-ingredient minimally processed leavening agent, NOVA 1.",high,ai,2026-07-23 15:37:25.889
14,Mushrooms,kg,8.2000,Vegetables,2026-03-19 09:57:55.906,2.5000,,,5,,,1.0000,,vegetable,t,daily,,,,,,50.00,5,f,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,1,[],Fresh mushrooms with no label declaration — plain whole vegetables are unambiguously NOVA 1.,high,ai,2026-07-23 15:37:25.889
19,Rosemary,g,1.7900,Herbs and Spices,2026-03-19 09:57:55.921,100.0000,,,5,,,1.0000,,herb,t,daily,,,,,,250.00,5,f,0.0000,weight,,t,,1350.00,320.00,15.30,7.60,64.10,1.70,3.30,0.29,Rosemary,[],14.10,raw,,f,,percent,,,f,f,f,t,,,,,,,,1,[],"Label declaration confirms single ingredient: rosemary. Plain herb, NOVA 1.",high,ai,2026-07-23 15:37:25.889
40,Course Black Pepper,g,6.2600,Herbs and Spices,2026-03-19 09:57:56.022,500.0000,,,9,,,1.0000,,spice,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,3400.00,810.00,3.30,1.00,64.00,0.60,10.00,0.02,Black Pepper,[],25.00,raw,,f,,percent,,,f,f,f,t,,,,,,,,1,[],"Label declaration confirms single ingredient: black pepper. Plain single spice, NOVA 1.",high,ai,2026-07-23 15:37:25.889
22,Pork,kg,4.3900,Meat,2026-03-19 09:57:55.944,1.0000,,,3,26,,0.7300,6.0000,raw_meat,t,daily,,75.00,180,155,70,40.00,,f,0.0000,weight,,t,,718.00,173.00,9.30,3.30,0.00,0.00,20.90,0.05,Pork,[],0.00,raw,,f,,percent,,,f,t,f,t,,240,,,,,,1,[],"Label declaration confirms single ingredient: pork. Plain raw meat, NOVA 1.",high,ai,2026-07-23 15:37:25.889
24,Duck,kg,4.4900,,2026-03-19 09:57:55.956,1.0000,,,26,2,,1.0000,,cooked_meat,t,daily,,,,,,800.00,,f,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,1,[],"Listed as cooked_meat with no label declaration; judging from name alone. Plain cooked duck (no additives declared or implied by the name) is treated as minimally processed, NOVA 1. Confidence is medium as cooking method and any seasoning/glazing is unknown.",medium,ai,2026-07-23 15:37:25.889
48,Crushed chillis,g,5.2600,Herbs and Spices,2026-03-19 09:57:56.045,300.0000,,,9,,,1.0000,,spice,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,1,[],"Crushed chillis is a plain, single dried spice with no added ingredients. Classified as NOVA 1 — unprocessed/minimally processed.",high,ai,2026-07-23 15:37:25.889
62,Dried Thyme,g,3.0900,Herbs and Spices,2026-03-19 09:57:56.099,180.0000,,,9,,,1.0000,,herb,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,1,[],Dried thyme is a plain dried herb with no additives. Unambiguously NOVA 1.,high,ai,2026-07-23 15:37:25.889
57,Gherkin (drained weight),kg,7.0500,Vegetables,2026-03-19 09:57:56.078,1.3800,country range,,9,1,https://waterdene.coldweb.co.uk/ordering/pages/product_info.php?cPath=20001_254;products_id=9725,1.0000,,vegetable,f,daily,,,,,,10.00,,t,10.0000,pack,15.0000,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,t,f,,,,,,,,4,"[""acidity regulators"", ""preservatives"", ""flavourings""]","Country Range gherkins (pickled cucumbers) in wholesale catering packs typically contain acetic acid, preservatives (sodium benzoate or similar) and sometimes flavourings beyond a simple brine, placing them at NOVA 4. Confidence is medium as no label was provided; a pure vinegar-brined gherkin could be NOVA 3.",medium,ai,2026-07-23 15:37:25.889
25,Olive Oil,kg,29.9900,Dough,2026-03-19 09:57:55.962,5.0000,,,10,,,1.0000,,other,f,daily,,,,,,10.00,,t,5.0000,bottle,5.0000,t,,,,,,,,,,Olive Oil,[],,raw,,f,,percent,,,f,f,t,f,,,,,,,,2,[],Label declaration is 'Olive Oil' — a single-ingredient pure oil. Unambiguously NOVA 2 (processed culinary ingredient).,high,ai,2026-07-23 15:37:25.889
221,Oregano,g,2.1100,,2026-04-27 11:19:12.801549,100.0000,Sysco Classic ,A 33592,1,9,https://www.brake.co.uk/dry-store/cooking-ingredients/herbs-spices-seasonings/herbs/sysco-classic-oregano/p/33592?term=oregano,1.0000,,seasoning,f,daily,,,,,,10.00,,t,3.0000,pack,7.0000,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,t,f,,,,,,,,1,[],"No label declaration provided, but Sysco Classic dried oregano is a plain single herb. Judged from name and brand as NOVA 1 at medium confidence. (The 'old' tag appears to be an internal stock label, not a product descriptor.)",medium,ai,2026-07-23 15:37:25.889
81,Spicy Base,kg,2.8300,,2026-03-19 09:57:56.158,1.0000,,,17,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
82,Buttermilk Fried Chicken Strip,kg,0.6900,,2026-03-19 09:57:56.16,1.0000,,,17,,,1.0000,,cooked_meat,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
88,Ground Ginger,g,4.9100,,2026-03-19 09:57:56.178,450.0000,,,9,,,1.0000,,spice,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
89,Madras Curry Powder,g,3.4700,,2026-03-19 09:57:56.181,450.0000,,,9,,,1.0000,,spice,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
90,Turmeric,g,4.5800,,2026-03-19 09:57:56.185,500.0000,,,9,,,1.0000,,spice,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
91,Katsu Spice Mix,g,0.0000,,2026-03-19 09:57:56.188,770.0000,,,17,,,1.0000,,spice,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
92,Hoisin Sauce (Blue Dragon),kg,6.4600,,2026-03-19 09:57:56.194,1.2500,Blue Dragon,,19,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
93,Carrots (Grated),kg,2.7500,,2026-03-19 09:57:56.198,1.0000,,,5,,,1.0000,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
94,Chicken Boullion,kg,15.9100,,2026-03-19 09:57:56.2,1.0200,,,9,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
66,Dried Parsley,g,2.7400,Herbs and Spices,2026-03-19 09:57:56.112,120.0000,,,9,,,1.0000,,herb,f,daily,,,,,,10.00,,t,3.0000,weight,3.0000,t,,1176.00,281.00,2.40,0.40,49.00,2.00,27.00,0.15,Dried Parsley,[],8.60,raw,,f,,percent,,,f,f,f,t,,,,,,,,1,[],"Dried parsley with no label declaration — a plain dried herb, unambiguously NOVA 1.",high,ai,2026-07-23 15:37:25.889
99,Carrots (Diced),kg,2.7500,,2026-03-19 09:57:56.217,1.0000,,,5,,,1.0000,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
101,Yangnyeom Korean Sauce,kg,4.3700,,2026-03-19 09:57:56.223,1.0000,,,17,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
102,Basil puree,kg,14.7300,,2026-03-19 09:57:56.226,1.0000,,,17,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
104,Philly Beef Mix,kg,13.9800,,2026-03-19 09:57:56.232,1.0000,,,17,,,1.0000,,cooked_meat,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
105,Ham (sliced gammon),g,4.4900,,2026-03-19 09:57:56.235,530.0000,,,2,,,1.0000,,cooked_meat,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
107,Chargrilled peppers,kg,12.7000,,2026-03-19 09:57:56.24,1.9000,,,10,,,0.5900,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
108,Chargrilled Aubergines,kg,12.7000,,2026-03-19 09:57:56.242,1.9000,,,10,,,0.5300,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
109,Chargrilled Artichokes,kg,10.9800,,2026-03-19 09:57:56.245,1.0000,,,5,,,0.9500,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
110,Corn flour,kg,13.7200,,2026-03-19 09:57:56.25,5.0000,,,,,https://www.buywholefoodsonline.co.uk/cornflour-corn-starch.html,1.0000,,other,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
112,Potato Starch,kg,11.6900,,2026-03-19 09:57:56.255,2.0000,,,,,https://www.buywholefoodsonline.co.uk/organic-potato-starch.html,1.0000,,other,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
113,Skimmed Milk Powder,kg,11.5500,,2026-03-19 09:57:56.259,2.0000,,,9,,,1.0000,,dairy,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
114,Egg White Powder,kg,29.9500,,2026-03-19 09:57:56.264,1.0000,,,22,,,1.0000,,other,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
100,Baby Back Pork Ribs,kg,72.0000,,2026-03-19 09:57:56.219,10.0000,,,,,,1.0000,,raw_meat,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,t,f,f,,,,,,,,,[],,,,
78,Braising Beef,kg,9.9000,Meat,2026-03-19 09:57:56.145,1.0000,,,1,,,1.0000,3.5000,raw_meat,f,daily,,70.00,240,155,70,10.00,,f,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,t,f,f,,,,,,,,,[],,,,
77,Matture Cheddar,kg,14.9500,Dairy,2026-03-19 09:57:56.142,2.0000,,,5,9,,1.0000,,cheese,f,daily,,,,,,200.00,,f,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
118,White Cooking Wine,kg,6.9500,,2026-03-19 09:57:56.275,5.0000,,,10,,,1.0000,,other,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
119,Fresh Thyme,g,1.7900,,2026-03-19 09:57:56.278,100.0000,,,5,,,0.6500,,herb,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
120,Beef Gravy Granules,kg,15.5500,,2026-03-19 09:57:56.281,1.8000,,,9,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
121,Beef Welly Mix,kg,10.1300,,2026-03-19 09:57:56.284,1.0000,,,17,,,1.0000,,,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
123,Mushroom Duxelle,kg,11.4700,,2026-03-19 09:57:56.289,1.3250,,,17,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
124,Spicy Chicken,kg,10.0000,,2026-03-19 09:57:56.292,1.0000,,,,,,0.8000,,cooked_meat,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
125,Streaky Bacon,kg,12.0000,,2026-03-19 09:57:56.294,1.0000,,,,,,0.5200,,cooked_meat,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
126,Red Onion Gravy,kg,2.0900,,2026-03-19 09:57:56.297,1.0000,,,17,,,0.9400,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
129,Peeled Shallots,kg,9.2000,,2026-03-19 09:57:56.308,1.0000,,,5,,,0.9500,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
130,Red Wine,g,5.3700,,2026-03-19 09:57:56.311,750.0000,,,10,,,1.0000,,other,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
131,Dried Cranberries,kg,10.8900,,2026-03-19 09:57:56.313,1.0000,,,5,,,1.0000,,herb,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
132,Riccota,kg,10.1300,,2026-03-19 09:57:56.316,1.5000,,,9,,,1.0000,,cheese,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
133,Baby Spinach,kg,12.4900,,2026-03-19 09:57:56.318,2.0000,,,5,,,1.0000,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
134,TCK Roasted Red peppers,kg,13.9500,,2026-03-19 09:57:56.321,1.0000,,,17,,,0.5100,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
135,TCK Roasted Mushroons,kg,10.9500,,2026-03-19 09:57:56.325,2.5000,,,17,,,0.6000,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
136,Cauliflower,kg,29.5000,,2026-03-19 09:57:56.328,5.0000,,,5,,,1.0000,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
138,Roasted Red Peppers,kg,12.2900,,2026-03-19 09:57:56.333,2.2000,,,5,,,0.9500,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
141,Broccoli (prepared),kg,17.5000,,2026-03-19 09:57:56.344,2.5000,,,5,,,0.7400,,vegetable,f,daily,,,,,,10.00,5,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
140,Vegetable Oil,kg,25.9900,,2026-03-19 09:57:56.342,20.0000,KTC,,2,,,1.0000,,other,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,2,[],KTC vegetable oil is a pure refined plant oil — a classic processed culinary ingredient (NOVA 2). No additives expected.,high,ai,2026-07-23 15:37:25.889
142,Taleggio,kg,9.6900,,2026-03-19 09:57:56.346,1.0000,,,10,,,1.0000,,cheese,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
143,Bechemel,kg,6.0700,,2026-03-19 09:57:56.349,1.0000,,,9,,,0.9800,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
145,Gorgonzola Dolce,kg,15.1200,,2026-03-19 09:57:56.354,1.6000,,,10,,,1.0000,,cheese,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
146,Cider Vinegar,kg,8.5300,,2026-03-19 09:57:56.356,5.0000,,,23,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
147,Tamari Soy Sauce (UPF Free),kg,24.9900,,2026-03-19 09:57:56.359,6.0000,,,23,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
149,Hoisin Sauce (Knorr),kg,22.5800,,2026-03-19 09:57:56.364,2.2000,Knorrs,,23,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
150,Hoisin Sauce (Bidfood Everyday),kg,25.2100,,2026-03-19 09:57:56.366,7.8000,Bidfood Everyday,,23,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
152,Tikka Paste,kg,10.9400,,2026-03-19 09:57:56.371,1.1000,,,1,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
153,Smoked Bacon Lardons,kg,55.4300,,2026-03-19 09:57:56.373,10.0000,,,1,,,0.5500,,cooked_meat,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
155,Szechuan Concentrated Sauce,kg,12.1600,,2026-03-19 09:57:56.378,1.0000,,,1,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
157,Rice Vinegar,kg,12.3000,,2026-03-19 09:57:56.383,3.0000,,,1,,,1.0000,,sauce,f,daily,,,,,,10.00,,t,0.0000,weight,,t,,,,,,,,,,,[],,raw,,f,,percent,,,f,f,f,f,,,,,,,,,[],,,,
